index,town_name,district_name,番地詳細
455,三咲町,,八木が谷地区
456,三咲町,,大穴地区
457,緑台,1・2丁目,
458,湊町,1～3丁目,
459,南海神,1・2丁目,
460,南本町,,"1～4,7～10  12～14"
461,南本町,,15～43
462,南三咲,1丁目,
463,南三咲,2丁目,
464,南三咲,3丁目,"1～15,18～25"
465,南三咲,3丁目,"16,17,26～30"
466,南三咲,4丁目,8～25
467,南三咲,4丁目,1～7
468,みやぎ台,1・2丁目,
469,みやぎ台,3丁目,"11～16,18～21"
470,みやぎ台,3丁目,124
471,みやぎ台,4丁目,
472,三山,1～4丁目,
473,三山,5～7丁目,
474,三山,8・9丁目,
475,宮本,1丁目,
476,宮本,2丁目,1～13
477,宮本,2丁目,14～15
478,宮本,3丁目,
479,宮本,4～7丁目,
480,宮本,8丁目,
481,宮本,9丁目,
482,本中山,1～7丁目,
483,前貝塚町,,"100番台,208～211  819～822,844,845,855,856  860番台,870～872,885"
484,前貝塚町,,上記下記以外
485,前貝塚町,,340番台
486,前原西,1～3丁目,
487,前原西,4・5丁目,
488,前原西,6丁目,下記以外
489,前原西,6丁目,前原団地（アルビス前原）
490,前原西,6丁目,パークホームズ津田沼前原の丘  パークハウス木々津田沼前原  ローレルコート津田沼  ミリアビタNO.26
491,前原西,7丁目,
492,前原西,8丁目,"5～19,25～28"
493,前原西,8丁目,"1～4,22～24"
494,前原東,1丁目,9～16
495,前原東,1丁目,1～8
496,前原東,2丁目,
497,前原東,3丁目,134
498,前原東,3丁目,"5～8,10～15  17～36"
499,前原東,4丁目,1～17
500,前原東,4丁目,18～21
501,前原東,5丁目,1～7
502,前原東,5丁目,8～49
503,前原東,6丁目,"1～5,9～15"
504,前原東,6丁目,"6,7,8,16～37"
505,馬込町,,"912,913  943,945"
506,馬込町,,船橋・我孫子線の東側
507,馬込町,,船橋・我孫子線の西側
508,馬込西,1丁目,旧馬込町馬込沢駅駅前  （印西線北側）
509,馬込西,2・3丁目,
510,松が丘,1～3丁目,
511,松が丘,4・5丁目,
512,丸山,1～5丁目,
513,三咲,1丁目,
514,三咲,2・3丁目,
515,三咲,4～8丁目,
516,三咲,9丁目,
517,三咲町,,八木が谷地区
518,三咲町,,大穴地区
519,緑台,1・2丁目,
520,湊町,1～3丁目,
521,南海神,1・2丁目,
522,南本町,,"1～4,7～10  12～14"
523,南本町,,15～43
524,南三咲,1丁目,
525,南三咲,2丁目,
526,南三咲,3丁目,"1～15,18～25"
527,南三咲,3丁目,"16,17,26～30"
528,南三咲,4丁目,8～25
529,南三咲,4丁目,1～7
530,みやぎ台,1・2丁目,
531,みやぎ台,3丁目,"11～16,18～21"
532,みやぎ台,3丁目,124
533,みやぎ台,4丁目,
534,三山,1～4丁目,
535,三山,5～7丁目,
536,三山,8・9丁目,
537,宮本,1丁目,
538,宮本,2丁目,1～13
539,宮本,2丁目,14～15
540,宮本,3丁目,
541,宮本,4～7丁目,
542,宮本,8丁目,
543,宮本,9丁目,
544,本中山,1～7丁目,
545,八木が谷,1～5丁目,
546,八木が谷町,,
547,薬円台,1・2丁目,
548,薬円台,3丁目,
549,薬円台,4丁目,"1～13,17～25"
550,薬円台,4丁目,15
551,薬円台,5丁目,
552,薬円台,6丁目,1～22
553,薬円台,6丁目,2324
554,薬園台町,1丁目,
555,山手,1～3丁目,
556,山野町,,
557,若松,1丁目,2～17
558,若松,1丁目,1
559,若松,2・3丁目,
560,八木が谷,1～5丁目,
561,八木が谷町,,
562,薬円台,1・2丁目,
563,薬円台,3丁目,
564,薬円台,4丁目,"1～13,17～25"
565,薬円台,4丁目,15
566,薬円台,5丁目,
567,薬円台,6丁目,1～22
568,薬円台,6丁目,2324
569,薬園台町,1丁目,
570,山手,1～3丁目,
571,山野町,,
572,若松,1丁目,2～17
573,若松,1丁目,1
574,若松,2・3丁目,
